generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,344,0.0005551820910318806,0.001234709169889604,0.000816554110315308,0.00012213186417521344
1,337,0.0005551820910318806,0.001234709169889604,0.0008406617534752873,0.00013409128324543495
2,334,0.0005915323241051041,0.001150352820107001,0.0008475027271221398,0.00012982289833140019
3,331,0.0006223165740323352,0.001150352820107001,0.0008701894169994073,0.00013650452719390408
4,346,0.0006223165740323352,0.001150352820107001,0.0008820741951508399,0.00013732851854141552
5,349,0.0005044032776323305,0.0012201400499675238,0.000900293334008406,0.0001421554847705579
6,327,0.000620206124180488,0.0012201400499675238,0.0009342631319467723,0.00013741572847723784
7,342,0.0006029790238278272,0.0012201400499675238,0.0009404788718317591,0.0001384146522686811
8,331,0.0006089892890605563,0.0012201400499675238,0.0009543411062307592,0.00013012981081278157
9,344,0.0006089892890605563,0.0012201400499675238,0.0009620448325421689,0.0001307998220780732
10,341,0.0006692859955074591,0.0012201400499675238,0.0009684347227769669,0.00013459580656322487
11,370,0.0006692859955074591,0.0012201400499675238,0.0009992083554556945,0.00012520259848075143
12,338,0.0006692859955074591,0.0012201400499675238,0.0009996537442434252,0.00012414390880988342
13,323,0.0007058484441951385,0.001282795254926578,0.0010045452524730285,0.0001201160454191632
14,344,0.0007171627994435023,0.001282795254926578,0.0010271581387956115,0.00011451451304284663
15,338,0.0007162570998202861,0.001282795254926578,0.001031066832516628,0.00011293631225435715
16,338,0.0007283080477094734,0.0012201400499675238,0.001045616845769777,0.00010848026337217766
17,333,0.0007283080477094734,0.0012201400499675238,0.0010569937740439563,0.00010800440992480485
18,351,0.0007209089862702337,0.0012201400499675238,0.0010633019910733933,0.0001043874106928634
19,330,0.0007209089862702337,0.0012491309542094241,0.0010706078651517915,0.00010627280503425532
20,329,0.0007209089862702337,0.0012491309542094241,0.0010773320491804658,0.00010247778657379982
21,331,0.0007436532314720148,0.0012563564332329173,0.0010810599454583868,0.00010094146271743632
22,360,0.0006693373454280675,0.0012444444605672748,0.0010814467520848276,0.00010724351632277733
23,335,0.0006522671457891024,0.0013415787448380508,0.001093492065435617,0.00010266346774926692
24,366,0.0006522671457891024,0.0013415787448380508,0.001100808011257322,9.704199176087404e-05
25,342,0.0006522671457891024,0.0012201400499675238,0.0010996601322594802,0.00010674823005632279
26,342,0.0006042511655458533,0.0012201400499675238,0.0011169940189293818,8.46133716891446e-05
27,332,0.0006925283891177418,0.0012201400499675238,0.0011118699811025273,8.845188011167734e-05
28,338,0.0006939782338159296,0.0012201400499675238,0.0011183325197762347,7.922532927684058e-05
29,346,0.000698503357766442,0.0012201400499675238,0.0011227808226357296,7.96793762006084e-05
30,344,0.0007194783772998678,0.0012201400499675238,0.001123155736370247,7.917762254281482e-05
31,343,0.0006814649452727336,0.0012867976857439342,0.0011230494838769358,8.502994105890024e-05
32,335,0.0006814649452727336,0.0013415787448380508,0.0011251294025642752,8.784324279923618e-05
