generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,80,9.763345499035684e-05,0.00013213857596916355,0.00011036915181214205,6.804603525293562e-06
1,80,0.00010108721705405057,0.00013213857596916355,0.0001117546771322484,6.737932408952818e-06
2,80,0.00010108721705405057,0.00013213857596916355,0.00011281187520699078,5.8759509993755456e-06
3,80,0.00010108721705405057,0.00013213857596916355,0.00011342223386305091,5.3533244125309856e-06
4,80,0.00010108721705405057,0.0001261277323080982,0.00011325863609147919,4.357040617451915e-06
5,80,9.931837238979802e-05,0.00011845644298690732,0.00011150128656198717,5.073698888176593e-06
6,80,9.931837238979802e-05,0.00011845644298690732,0.00011122357203517555,5.202356437950842e-06
7,80,0.00010108721705405057,0.00011845644298690732,0.00011108469125642823,5.026976115960187e-06
8,80,0.00010108721705405057,0.00011845644298690732,0.00011168132595802472,4.906149957498595e-06
9,80,0.00010108721705405057,0.00011845644298690732,0.00011274901279324722,3.768708924864656e-06
10,80,0.00010108721705405057,0.00011845644298690732,0.00011330601652158707,3.1840243072544416e-06
11,80,0.00010724495433716332,0.00011845644298690732,0.00011314380741020819,2.9010713409481855e-06
12,80,0.00010724495433716332,0.00011845644298690732,0.00011374701453849261,3.1720137993222232e-06
13,80,0.00010724495433716332,0.00011845644298690732,0.00011357908444622107,3.4326761716460657e-06
14,80,0.00010724495433716332,0.00011845644298690732,0.0001138349952593467,3.394081209863227e-06
15,80,0.00010724495433716332,0.00012046698400507036,0.00011326278933785372,3.483964526862359e-06
16,80,0.00010724495433716332,0.00011845644298690732,0.00011304000096407801,2.9391084719941497e-06
17,80,0.00010879399296924363,0.00011845644298690732,0.00011332148625966816,2.9089550082176865e-06
18,80,0.00010879399296924363,0.00011845644298690732,0.00011244085033068111,2.7973583546034996e-06
19,80,0.00010879399296924363,0.0001172483608815772,0.000112610756433291,2.7316597413211767e-06
20,80,0.00010879399296924363,0.0001172483608815772,0.00011250692287445812,2.6784406613882207e-06
21,80,0.00010879399296924363,0.00012028587790296776,0.00011291975271979378,2.848166542612101e-06
22,80,0.00010879399296924363,0.00012028587790296776,0.00011314900584053739,2.879048757628466e-06
23,80,0.00010879399296924363,0.00011739671464943445,0.00011285249551290048,2.9073861149466577e-06
24,80,0.00010879399296924363,0.00011739671464943445,0.00011271298441775639,2.8112983401667333e-06
25,80,0.00010879399296924363,0.00011739671464943445,0.00011248984533672374,2.62958463329068e-06
26,80,0.00010879399296924363,0.00011739671464943445,0.00011282642912475726,2.5428895187607166e-06
27,80,0.00010879399296924363,0.0001172483608815772,0.00011297618472839359,2.485274372699161e-06
28,80,0.00010397362454423736,0.0001172483608815772,0.00011275351389960879,2.7367469784818126e-06
29,80,0.00010879399296924363,0.00011999200815358714,0.00011306912788703047,2.7157666266147657e-06
30,80,0.00010879399296924363,0.00011999200815358714,0.00011306241087431266,3.0281923541679083e-06
31,80,0.00010723630531431608,0.00011999200815358714,0.00011311117424599184,3.038290849747304e-06
32,80,0.00010663976618280537,0.00011999200815358714,0.00011288663424483818,3.1345965357552665e-06
33,80,0.00010474810811822106,0.00012606119788413696,0.0001132317868563819,3.6463099394574104e-06
34,80,0.00010663976618280537,0.00012606119788413696,0.00011380447559611336,3.3655643978761954e-06
35,80,0.00010879399296924363,0.00012606119788413696,0.00011380279151269224,3.2574465305470697e-06
36,80,0.00010879399296924363,0.00012606119788413696,0.00011398292021633592,3.2518151536994978e-06
37,80,0.00010879399296924363,0.00012606119788413696,0.00011461037813324949,3.824297476717954e-06
38,80,0.00010879399296924363,0.00012606119788413696,0.00011550639338927857,3.85135892622905e-06
39,80,0.00010879399296924363,0.00012606119788413696,0.00011545004961207354,3.918049459379053e-06
40,80,0.00010879399296924363,0.00012606119788413696,0.00011496942263516629,3.3541326646073803e-06
41,80,0.00010879399296924363,0.00012606119788413696,0.00011532793551124864,3.810990372766601e-06
42,80,0.00010834724150980191,0.00012606119788413696,0.00011499689234515886,3.794213131721826e-06
43,80,0.00010879399296924363,0.00012606119788413696,0.0001162087644994028,4.116882102116061e-06
44,80,0.00010879399296924363,0.00012606119788413696,0.00011642962158978703,4.691150293552796e-06
45,80,0.00010879399296924363,0.00012606119788413696,0.00011585599200292504,4.860177138284308e-06
46,80,0.00010879399296924363,0.00012606119788413696,0.00011619405120782346,5.159048908146703e-06
