generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
61,60,1.4458524523542382e-09,8.126793942042594e-09,6.105376526856726e-09,2.442637846528691e-09
62,70,1.4116133273620046e-09,8.126793942042594e-09,6.380163500535443e-09,2.332573403266047e-09
63,69,1.6839556169254892e-09,8.126793942042594e-09,6.377656879215221e-09,2.1703743645625614e-09
64,65,1.5550244284752608e-09,8.126793942042594e-09,6.209570289987489e-09,2.3626933586229944e-09
65,58,1.438500082441971e-09,8.126793942042594e-09,6.408869624111964e-09,2.463906263409051e-09
66,64,1.384289204195247e-09,8.126793942042594e-09,6.2392382041007565e-09,2.37728688491795e-09
67,66,1.4773266122165542e-09,8.126793942042594e-09,6.431320158104139e-09,2.1665696235733696e-09
68,73,1.5245336914814366e-09,8.36145614180928e-09,6.678432562529849e-09,2.107103118812015e-09
69,64,1.6123968704910548e-09,8.36145614180928e-09,6.2410320917944425e-09,2.4589251943730104e-09
70,68,1.501676454189686e-09,8.126793942042594e-09,6.6680313511175365e-09,2.2500571018254386e-09
71,55,1.3918357800288366e-09,8.126793942042594e-09,6.810741113254306e-09,2.2261329873783283e-09
72,63,1.8003531624957874e-09,8.613660723563287e-09,7.07900724417424e-09,1.8350320106240725e-09
73,60,1.672974472542133e-09,8.613660723563287e-09,6.7897776547398816e-09,2.2006167172213254e-09
74,60,1.6128079993964058e-09,8.613660723563287e-09,6.694991037181098e-09,2.241198311408574e-09
75,60,1.7183047569107437e-09,8.613660723563287e-09,7.1172162206673835e-09,1.802666686168538e-09
76,59,1.7183047569107437e-09,8.613660723563287e-09,6.755576558285505e-09,2.2320770449420357e-09
77,64,1.7183047569107437e-09,8.613660723563287e-09,7.090200984052541e-09,1.9114585493021295e-09
78,73,1.3430371734142518e-09,8.613660723563287e-09,6.349742495271564e-09,2.460725635504774e-09
79,64,1.6354850648842069e-09,8.501452243543687e-09,6.3580618023760304e-09,2.261123991526349e-09
80,67,1.4116133273620046e-09,8.501452243543687e-09,6.255113583392493e-09,2.471384486333098e-09
81,61,1.4563810301953622e-09,8.501452243543687e-09,6.201180080886142e-09,2.4116863892889057e-09
82,63,1.4563810301953622e-09,8.501452243543687e-09,6.548316010580661e-09,2.1885334355115895e-09
83,58,1.5659460183250091e-09,8.671911427549683e-09,6.623363618276106e-09,2.10908742014263e-09
