generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,14,0.00029672227384368625,0.0003794519377542891,0.0003318298239259173,1.9378228393291895e-05
1,15,0.00030011718105773903,0.0003794519377542891,0.00033242954968648955,2.017587202860302e-05
2,10,0.00030011718105773903,0.0003794519377542891,0.0003337895484893066,2.2135891206543676e-05
3,16,0.00029724852691980766,0.0003794519377542891,0.00033514429857053397,2.1539053975985484e-05
4,20,0.00029724852691980766,0.00040760692849885015,0.0003413982167902106,2.4092752694587077e-05
5,12,0.00029724852691980766,0.00040760692849885015,0.0003417954222413853,2.5599419450245716e-05
6,10,0.00029724852691980766,0.00040760692849885015,0.0003394348156908718,2.3171953632023645e-05
7,10,0.0002892477022360733,0.00038329632698688113,0.00033628730442600556,2.2838446296319407e-05
8,16,0.0002892477022360733,0.00038329632698688113,0.00033767371581612104,2.1666631404074484e-05
9,15,0.0002892477022360733,0.00038329632698688113,0.00033514823891618085,2.2008597951802893e-05
10,23,0.00029724852691980766,0.00038329632698688113,0.00034158730715005763,2.230615063162157e-05
11,10,0.00029724852691980766,0.00038329632698688113,0.00034336904692574427,2.1049348284579404e-05
12,13,0.00029724852691980766,0.00038329632698688113,0.0003450180967239875,2.0942609974539673e-05
13,13,0.00029724852691980766,0.00038329632698688113,0.0003437886748813974,2.009458943808927e-05
14,15,0.00029724852691980766,0.00038418272950308517,0.00034570600936221043,1.996536269509109e-05
15,19,0.00031545075421526543,0.00038329632698688113,0.00034847500966069423,1.9890617082353468e-05
16,10,0.0003125181818402537,0.00038329632698688113,0.00035057391854123837,2.1416883067541735e-05
17,21,0.0003201672666621732,0.0004121013046244385,0.00035204085206896494,2.2569140122443925e-05
18,15,0.0003109957358670058,0.0004121013046244385,0.00034985729456365447,2.47977280149146e-05
19,10,0.0003109957358670058,0.0004121013046244385,0.00034201841145366284,2.271592301635303e-05
20,16,0.0003068028829456427,0.0004121013046244385,0.00034164138835126787,2.23879733565359e-05
21,16,0.0003068028829456427,0.0004121013046244385,0.0003407127270116205,2.3288380424567978e-05
22,18,0.0002923626828818356,0.0004121013046244385,0.0003395277373971175,2.1413923110533695e-05
23,7,0.0002923626828818356,0.0004121013046244385,0.0003363104459656371,2.170430890184189e-05
24,15,0.0002923626828818356,0.0004146641325835406,0.0003374015277069534,2.292935964704845e-05
