generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,61,1.1754582126800714e-05,3.6924335349722656e-05,1.910152088460893e-05,5.4701475564245165e-06
1,68,1.2649787883962476e-05,3.728396832675016e-05,2.052968191516339e-05,6.1216834205091e-06
2,70,1.279642260264515e-05,3.728396832675016e-05,2.235296319997441e-05,6.770284608465884e-06
3,56,1.279642260264515e-05,3.728396832675016e-05,2.3923155352620265e-05,7.747778531783707e-06
4,74,1.279642260264515e-05,3.728396832675016e-05,2.487396406154829e-05,7.5623820853140865e-06
5,65,1.279642260264515e-05,3.728396832675016e-05,2.4948560233585243e-05,7.185525768473021e-06
6,63,1.3138165931040057e-05,4.582609943096139e-05,2.6791195350372602e-05,8.033830947677263e-06
7,67,1.448173242135924e-05,6.100241896129063e-05,2.96411316784396e-05,8.582936918016613e-06
8,59,1.2851675596425076e-05,6.696466639612318e-05,3.068459195316275e-05,1.0254539148191841e-05
9,62,1.2851675596425076e-05,6.696466639612318e-05,3.1872268601360117e-05,1.3872764502376283e-05
10,61,1.448682372875128e-05,9.163195447008304e-05,3.6807304867348104e-05,1.6038531555543733e-05
11,63,1.5115530534814504e-05,9.163195447008304e-05,4.000061363771158e-05,1.72607580959189e-05
12,59,1.4523831846147245e-05,9.163195447008304e-05,4.4076654364983155e-05,2.0274223378567257e-05
13,63,1.4796159859785513e-05,0.00010124897315333486,4.9758645729002035e-05,2.492012102662996e-05
14,64,1.4953879800175576e-05,0.00010124897315333486,5.870888024780027e-05,2.6893460405730787e-05
15,63,1.4953879800175576e-05,0.00010124897315333486,6.742350470350804e-05,2.7469297166354184e-05
16,68,1.7333717608842983e-05,0.00010124897315333486,7.152163483874843e-05,2.680248021912614e-05
17,54,1.8645900913836115e-05,0.00010124897315333486,7.32666046158363e-05,2.673416369960329e-05
18,62,1.567339993298543e-05,0.00010124897315333486,7.509789609115308e-05,2.8091216218989147e-05
19,71,1.5215531073896976e-05,0.00010225493123426362,7.270382812538342e-05,2.943890148870355e-05
20,67,1.513782132979829e-05,0.00010124897315333486,7.97189240479938e-05,2.6218560543457793e-05
21,63,1.737877371292852e-05,0.00010124897315333486,8.244894787053084e-05,2.380295311868933e-05
22,67,1.4567551847930967e-05,0.00010124897315333486,7.813583561910552e-05,2.6752537720787897e-05
23,68,1.3972354380895911e-05,0.00010124897315333486,6.856835592248326e-05,3.146993011167337e-05
24,51,1.634455596766694e-05,0.00010124897315333486,7.410151528433002e-05,2.7369453899291733e-05
25,67,1.3156256297775525e-05,0.00010124897315333486,7.616485577000356e-05,2.5907236079265326e-05
26,71,1.4752615419709344e-05,0.00010812886667915451,7.566298467082661e-05,2.7681486404214718e-05
27,64,1.5420061521657246e-05,0.00010126824827693857,7.091540169656896e-05,3.079656019611509e-05
28,65,1.474015379620351e-05,0.00010126824827693857,7.231351711348238e-05,3.070254898848674e-05
29,64,1.474015379620351e-05,0.00010126824827693857,7.784511573407973e-05,2.822890330763691e-05
30,66,1.6818696024162666e-05,0.00010126824827693857,7.689917484436134e-05,2.9792053171292075e-05
31,61,1.4782891620392568e-05,0.00010126824827693857,7.513673685604566e-05,3.0462632686867846e-05
32,62,1.5570795857606517e-05,0.00010124897315333486,7.976471409828002e-05,2.6462412583659032e-05
33,56,1.368652072755858e-05,0.00010124897315333486,7.8740666454941e-05,2.695486325061731e-05
34,69,1.6333590230445368e-05,0.00010124897315333486,7.726658498088031e-05,2.8282300897534615e-05
35,64,1.3045361831426149e-05,0.00010124897315333486,6.862072401065794e-05,3.253980435836525e-05
36,64,1.1931249778610518e-05,0.00010124897315333486,7.636310868152198e-05,2.9431869220409354e-05
37,54,1.3932034796144957e-05,0.00010124897315333486,7.871274475850246e-05,2.897504211276167e-05
38,56,1.980239604461436e-05,0.00010124897315333486,7.659500674540052e-05,3.034630495892234e-05
39,64,1.4637168095873891e-05,0.00010124897315333486,7.52394808391188e-05,3.0449033529784963e-05
40,59,1.403111592458299e-05,0.00010124897315333486,7.69618922024698e-05,3.072523827766513e-05
41,67,1.4467031908796593e-05,0.00010124897315333486,8.29941984978173e-05,2.6224037734636405e-05
42,57,1.3972354380895911e-05,0.00010124897315333486,7.870701511412625e-05,3.082090789383376e-05
43,65,1.8108662175797864e-05,0.00010124897315333486,8.080416180942665e-05,2.8934978636201168e-05
44,57,1.5360961726102678e-05,0.00010124897315333486,8.181182249274059e-05,2.8100758078023873e-05
45,69,1.4637168095873891e-05,0.00010124897315333486,7.667612884954636e-05,3.050444951206899e-05
46,69,1.4992678171119728e-05,0.00010126824827693857,7.886735501575959e-05,3.0417610178310738e-05
47,56,1.8047888872102254e-05,0.00010126824827693857,8.799872040562057e-05,2.2983422212859628e-05
48,56,1.3932034796144957e-05,0.00010124897315333486,7.949541157181371e-05,3.0281282531098577e-05
49,57,1.5360961726102678e-05,0.00010124897315333486,7.708951207956424e-05,3.162265716258325e-05
50,68,1.620451907686443e-05,0.00010124897315333486,8.023475802280404e-05,2.82496344618138e-05
51,58,1.593988052357617e-05,0.00010124897315333486,7.946074620456758e-05,2.7862188985134845e-05
52,62,1.556336520569764e-05,0.00010124897315333486,7.76930180419898e-05,2.94349582439371e-05
53,58,1.4192818933238292e-05,0.00010124897315333486,7.778114586398787e-05,2.795800598406607e-05
54,62,1.3611425221044567e-05,0.00010124897315333486,7.83721051805758e-05,2.8604547929368282e-05
55,56,1.3611425221044567e-05,0.00010124897315333486,7.971088598246432e-05,2.716648432572949e-05
56,63,1.3611425221044567e-05,0.00010124897315333486,8.061291254026561e-05,2.73372656732006e-05
57,68,1.5420061521657246e-05,0.00010124897315333486,7.294789228396154e-05,3.240983538219831e-05
58,66,1.5225964381901531e-05,0.00010124897315333486,7.262781714423752e-05,3.139910072303118e-05
59,55,1.5829627017073293e-05,0.00010124897315333486,8.123016400857585e-05,2.560689341345742e-05
60,70,1.3972354380895911e-05,0.00010124897315333486,7.393270153993909e-05,2.9329291092641954e-05
61,60,1.8010659495175042e-05,0.00010124897315333486,7.199534525326453e-05,3.124888205134787e-05
62,70,1.3790398013919149e-05,0.00010124897315333486,7.677255747675258e-05,2.9273026283010703e-05
63,69,1.938868967950126e-05,0.00010124897315333486,7.692239007000572e-05,2.808047899530818e-05
64,65,1.3505476499542157e-05,0.00010124897315333486,7.557421857036773e-05,3.021932256641339e-05
65,58,1.3505476499542157e-05,0.00010124897315333486,7.681657957889374e-05,3.1305347801244056e-05
66,64,1.4583792825042882e-05,0.00010124897315333486,7.407716500198167e-05,3.171338319363968e-05
67,66,1.5108960155627258e-05,0.00010124897315333486,7.487155158706634e-05,2.983387178208555e-05
68,73,1.6115132740306523e-05,0.00010124897315333486,7.902342852770305e-05,2.866192654951044e-05
69,64,1.5474598878413536e-05,0.00010124897315333486,7.434675653381885e-05,3.192562113776425e-05
70,68,1.3156256297775525e-05,0.00010124897315333486,7.821595519728689e-05,3.1596281139717904e-05
71,55,1.4583792825042882e-05,0.00010124897315333486,8.074611533593766e-05,3.066577722298407e-05
72,63,1.8108662175797864e-05,0.00010124897315333486,8.433064764546833e-05,2.6934121609972174e-05
73,60,1.4782891620392568e-05,0.00010124897315333486,8.086362546128381e-05,2.9807762809407817e-05
74,60,1.4782891620392568e-05,0.00010124897315333486,8.225904191232796e-05,2.8589979905727863e-05
75,60,1.543247498341216e-05,0.00010124897315333486,8.697188635359059e-05,2.5877802395077187e-05
76,59,1.3611425221044567e-05,0.00010124897315333486,8.198063707034847e-05,3.062871192809206e-05
77,64,1.3611425221044567e-05,0.00010124897315333486,8.716090618668205e-05,2.620896405772241e-05
78,73,1.3611425221044567e-05,0.00010124897315333486,7.817603330859364e-05,3.1707717375647655e-05
79,64,1.1175938368447458e-05,0.00010124897315333486,7.73832563769302e-05,3.0827128245712364e-05
80,67,1.1175938368447458e-05,0.00010124897315333486,7.568523647719135e-05,3.2845131270861106e-05
81,61,1.3932034796144957e-05,0.00010124897315333486,7.640702726899802e-05,3.1646160977849196e-05
82,63,1.3932034796144957e-05,0.00010124897315333486,8.17306714466677e-05,2.9601238704310414e-05
83,58,1.3972354380895911e-05,0.00010124897315333486,8.17584824827095e-05,2.912120716812223e-05
84,59,1.499563311176177e-05,0.00010124897315333486,7.784474200399848e-05,3.26435416993846e-05
85,60,1.1587953113374042e-05,0.00010124897315333486,7.659553186020229e-05,3.265276656156307e-05
86,61,1.577504523493824e-05,0.00010124897315333486,7.635281599171355e-05,3.2478494959016925e-05
87,53,1.368652072755858e-05,0.00010124897315333486,7.401269466496942e-05,3.315286588192821e-05
88,58,1.859535296328453e-05,0.00010124897315333486,7.923129407403195e-05,3.076951197124275e-05
89,72,1.6161918427678046e-05,0.00010124897315333486,8.021363112552296e-05,3.107053097645807e-05
90,66,1.4467031908796593e-05,0.00010124897315333486,7.113851618746218e-05,3.57128646885337e-05
91,71,1.4992678171119728e-05,0.00010124897315333486,7.880241745641223e-05,3.283962974499194e-05
92,66,1.2596780290592125e-05,0.00010124897315333486,7.688450011788264e-05,3.436032021315392e-05
93,62,1.2985639769418557e-05,0.00010124897315333486,7.956590982896549e-05,3.1817202281627054e-05
94,63,1.2781153062923632e-05,0.00010124897315333486,8.581936722796917e-05,2.807679262187892e-05
95,66,1.6519784877977067e-05,0.00010124897315333486,8.392056316049789e-05,2.943368819829132e-05
96,60,1.5033399020758363e-05,0.00010124897315333486,8.41373975766118e-05,2.985196231875916e-05
97,62,1.2882134087564151e-05,0.00010124897315333486,7.61986741034348e-05,3.465033472928038e-05
98,68,1.1657684437620344e-05,0.00010124897315333486,7.988948748096172e-05,3.233460938869065e-05
99,72,1.3505476499542157e-05,0.00010124897315333486,8.396418873590692e-05,3.096262838768027e-05
100,67,1.620451907686443e-05,0.00010124897315333486,8.278078810932237e-05,3.1320991821320336e-05
101,68,1.1587953113374042e-05,0.00010124897315333486,8.258738508114022e-05,3.3185779820348685e-05
102,73,1.2882134087564151e-05,0.00010124897315333486,8.561014384634792e-05,3.095726132187398e-05
103,69,1.2882134087564151e-05,0.00010124897315333486,8.62680900521068e-05,2.9558811980025915e-05
104,65,1.3505476499542157e-05,0.00010124897315333486,8.118717105941252e-05,3.3625706337394076e-05
105,60,1.1587953113374042e-05,0.00010124897315333486,8.001124278290952e-05,3.3625963675610316e-05
106,67,1.6333590230445368e-05,0.00010124897315333486,9.008481825573434e-05,2.4437670110134672e-05
107,68,1.3972354380895911e-05,0.00010124897315333486,8.660274242276379e-05,2.7146087989456423e-05
108,61,1.593988052357617e-05,0.00010124897315333486,8.558365505697075e-05,2.7343695090436146e-05
109,54,1.58852827893726e-05,0.00010124897315333486,7.90278401007974e-05,3.256452634359656e-05
110,63,1.4637168095873891e-05,0.00010124897315333486,7.83589051995771e-05,3.333305748041465e-05
111,73,1.3972354380895911e-05,0.00010124897315333486,7.581362185369e-05,3.568192990173895e-05
112,65,1.4992678171119728e-05,0.00010124897315333486,7.732767020209078e-05,3.391546726407028e-05
113,55,1.3611425221044567e-05,0.00010124897315333486,8.005252469140046e-05,3.1852091847791755e-05
114,51,1.6226945958738282e-05,0.00010124897315333486,8.543150641126648e-05,2.855298802028383e-05
115,65,1.2882134087564151e-05,0.00010124897315333486,8.416158996975231e-05,2.949252531724536e-05
116,63,1.2882134087564151e-05,0.00010124897315333486,8.167122611356063e-05,3.0742770596631005e-05
117,67,1.4651131774900192e-05,0.00010124897315333486,8.718626141882379e-05,2.5566322863864352e-05
118,71,1.4651131774900192e-05,0.00010225493123426362,8.61455830358225e-05,2.7757476589356913e-05
119,68,1.2781153062923632e-05,0.00010126824827693857,8.453295450189175e-05,3.091934083780427e-05
120,67,1.3505476499542157e-05,0.00010126824827693857,8.685642376847132e-05,2.9004391287642335e-05
121,67,1.3505476499542157e-05,0.00010126824827693857,7.799392786208432e-05,3.308959353771091e-05
122,60,1.9802332918809238e-05,0.00010126824827693857,8.247880283418588e-05,3.0045070122539643e-05
123,67,1.3505476499542157e-05,0.00010126824827693857,8.079613708619318e-05,3.0628665054673406e-05
124,73,1.368652072755858e-05,0.00010124897315333486,7.51723875251692e-05,3.38843681166514e-05
125,53,1.4467031908796593e-05,0.00010124897315333486,8.271771995461332e-05,3.0428536833173744e-05
126,60,1.3505476499542157e-05,0.00010124897315333486,7.696195464336998e-05,3.216055536420912e-05
127,72,1.597301955372826e-05,0.00010124897315333486,7.733788847572066e-05,3.156085038339422e-05
128,65,1.368652072755858e-05,0.00010124897315333486,6.842705073536395e-05,3.493567815594588e-05
