generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,61,5.73602905236988e-07,1.2331501442824526e-06,8.077554607287281e-07,1.3479438072220375e-07
1,68,6.19036194243059e-07,1.267490809684393e-06,8.250637778911193e-07,1.4584189675074066e-07
2,70,6.219568151618194e-07,1.267490809684393e-06,8.501614900257858e-07,1.3041287400018482e-07
3,56,6.202140358865794e-07,1.267490809684393e-06,8.640123153285448e-07,1.545722370760346e-07
4,74,5.84132865364351e-07,1.267490809684393e-06,8.699255906693464e-07,1.4825609771060297e-07
5,65,5.84132865364351e-07,1.267490809684393e-06,8.613908811323713e-07,1.3583093398268735e-07
6,63,5.84132865364351e-07,1.267490809684393e-06,8.836474166651132e-07,1.489619369233955e-07
7,67,6.041023820642799e-07,1.267490809684393e-06,9.009046087685801e-07,1.6613714986811643e-07
8,59,6.314518351469104e-07,1.267490809684393e-06,8.879436337099385e-07,1.622482986236175e-07
9,62,6.082107447197297e-07,1.267490809684393e-06,8.996240623373061e-07,1.828491816717406e-07
10,61,6.314518351469104e-07,1.267490809684393e-06,9.401336445993737e-07,1.7706958367695533e-07
11,63,6.314518351469104e-07,1.267490809684393e-06,9.484435478026377e-07,1.6349505320140744e-07
12,59,6.083153235051836e-07,1.267490809684393e-06,9.746651944972586e-07,1.6372786111658397e-07
13,63,6.083153235051836e-07,1.2835276098002257e-06,9.937277450545498e-07,1.7371689456607083e-07
14,64,6.353790167135079e-07,1.2835276098002257e-06,1.006631000497974e-06,1.787401402162925e-07
15,63,6.353790167135079e-07,1.2835276098002257e-06,1.0498192713766461e-06,1.9208322323608082e-07
16,68,6.498058910609872e-07,1.2835276098002257e-06,1.0686385508463548e-06,1.726879463661738e-07
17,54,7.493414328467519e-07,1.2835276098002257e-06,1.0736207390448493e-06,1.630234578888822e-07
18,62,7.192713257270515e-07,1.267490809684393e-06,1.0458493890047427e-06,1.725248039434544e-07
19,71,6.495685838405804e-07,1.541264727258792e-06,1.0311729575756665e-06,1.87202109098481e-07
20,67,6.865458603081342e-07,1.267490809684393e-06,1.0575199027952843e-06,1.6485376687068025e-07
21,63,6.871557410983539e-07,1.319538007335274e-06,1.0750837575608217e-06,1.593840131501194e-07
22,67,6.538010188707059e-07,1.319538007335274e-06,1.0668102250454122e-06,1.5494543057329e-07
23,68,6.969878714909795e-07,1.3810113319415507e-06,1.0366239225080744e-06,1.8086756305261843e-07
24,51,6.986311124179792e-07,1.3810113319415507e-06,1.0289499819968163e-06,1.6615269735203902e-07
25,67,6.479752785900971e-07,1.3810113319415507e-06,1.0267232077161573e-06,1.6500740704142005e-07
26,71,6.483636474383274e-07,1.267490809684393e-06,1.0166423241581418e-06,1.677561653719409e-07
27,64,6.483636474383274e-07,1.3364700731770667e-06,1.0183885031233085e-06,1.7143125306275832e-07
28,65,6.483636474383274e-07,1.3364700731770667e-06,1.0188278419550508e-06,1.854432626849712e-07
29,64,6.483636474383274e-07,1.3364700731770667e-06,1.02751081115282e-06,1.6994341747420455e-07
30,66,7.094969950775401e-07,1.3364700731770667e-06,1.0294959030099138e-06,1.7312632679870543e-07
31,61,7.327667321075903e-07,1.3364700731770667e-06,1.0188982792412349e-06,1.684416472329657e-07
32,62,7.326447276207318e-07,1.2919608541071276e-06,1.0243959508750035e-06,1.5983874349507263e-07
33,56,6.677029345904909e-07,1.2919608541071276e-06,1.0262613665427032e-06,1.685018719179685e-07
34,69,6.624491822066602e-07,1.2919608541071276e-06,9.985754734510187e-07,1.7095440513980294e-07
35,64,6.624491822066602e-07,1.2919608541071276e-06,9.651583048480287e-07,1.588685175519745e-07
36,64,7.030623091216851e-07,1.2919608541071276e-06,9.918526778376183e-07,1.6676960797628187e-07
37,54,6.080775595756152e-07,1.2919608541071276e-06,9.956794698294526e-07,1.7783235896466518e-07
38,56,6.298956164507513e-07,1.2919608541071276e-06,1.0148808033333453e-06,1.771554244952429e-07
39,64,6.436674434554943e-07,1.2919608541071276e-06,9.869032610775057e-07,1.7078958772338585e-07
40,59,6.436674434554943e-07,1.2919608541071276e-06,1.0081078800643177e-06,1.7436163745650887e-07
41,67,6.436674434554943e-07,1.2919608541071276e-06,1.0477505032546256e-06,1.494790986520224e-07
42,57,7.295246251543427e-07,1.2954859130502487e-06,1.064193463206036e-06,1.482988341180295e-07
43,65,7.295246251543427e-07,1.2919608541071276e-06,1.0600603961025314e-06,1.6388465256615587e-07
44,57,7.433998805956873e-07,1.2919608541071276e-06,1.0488278402156065e-06,1.7053552643540645e-07
45,69,6.757934131949489e-07,1.2919608541071276e-06,1.0330422126276996e-06,1.8342837464935399e-07
46,69,7.488027034263422e-07,1.303955826939346e-06,1.0656788865258765e-06,1.8733333547593955e-07
47,56,6.523793761187482e-07,1.303955826939346e-06,1.1019655892310145e-06,1.802513002645561e-07
48,56,6.523793761187482e-07,1.3490353460089947e-06,1.0697459938247898e-06,1.9857097794979756e-07
49,57,6.523793761187482e-07,1.3490353460089947e-06,1.039641774905417e-06,1.961893177261619e-07
50,68,6.547535829418473e-07,1.3490353460089947e-06,1.0530187304452298e-06,1.784707134800644e-07
51,58,7.292772679455103e-07,1.3490353460089947e-06,1.0317803792830946e-06,1.5178259405202965e-07
52,62,6.917088715897227e-07,1.3900792820463762e-06,1.042373672762831e-06,1.6487481340512216e-07
53,58,6.684657643961125e-07,1.2919608541071276e-06,1.0104815087030794e-06,1.7002269212198342e-07
54,62,6.809218666754864e-07,1.2919608541071276e-06,1.034701065386061e-06,1.6853481978032365e-07
55,56,6.681991338792337e-07,1.2919608541071276e-06,1.0084421947758683e-06,1.616356158723613e-07
56,63,6.681991338792337e-07,1.2919608541071276e-06,1.0120454367468913e-06,1.6896112005035077e-07
57,68,5.880797519182449e-07,1.2919608541071276e-06,9.934912776833444e-07,1.7815272055055314e-07
58,66,5.880797519182449e-07,1.2919608541071276e-06,9.608077957825509e-07,1.809917587746723e-07
59,55,5.880797519182449e-07,1.2919608541071276e-06,9.857542713344308e-07,1.776991283110376e-07
60,70,6.969999568953707e-07,1.2919608541071276e-06,9.88991817847399e-07,1.6984544367450087e-07
61,60,6.055140984273748e-07,1.2919608541071276e-06,1.0000561857037778e-06,1.7984192308753192e-07
62,70,6.88091726563538e-07,1.2919608541071276e-06,1.0268307542081071e-06,1.65192766572856e-07
63,69,7.119841076001754e-07,1.2919608541071276e-06,1.0209978546297678e-06,1.7094881602267541e-07
64,65,7.127856718961469e-07,1.2919608541071276e-06,1.035769934084238e-06,1.6045202797124247e-07
65,58,7.127856718961469e-07,1.2919608541071276e-06,1.0514164427783838e-06,1.84298100512456e-07
66,64,6.809218666754864e-07,1.2919608541071276e-06,1.0266300710270269e-06,1.777216744869961e-07
67,66,7.204745647000061e-07,1.2919608541071276e-06,1.0146232802085337e-06,1.728608230060593e-07
68,73,7.204745647000061e-07,1.2919608541071276e-06,1.036662032701966e-06,1.6888645204793827e-07
69,64,7.009969604280967e-07,1.295212950871108e-06,1.0371528357543876e-06,1.7890389092579666e-07
70,68,6.732378083661356e-07,1.2919608541071276e-06,1.0665945610257095e-06,1.8850806923627396e-07
71,55,6.540241776506679e-07,1.2919608541071276e-06,1.0782452393778794e-06,1.8915175971942193e-07
72,63,6.732378083661356e-07,1.2919608541071276e-06,1.0966750785534401e-06,1.715472975822779e-07
73,60,6.5872083379448e-07,1.2919608541071276e-06,1.0779917047088197e-06,1.867750934025127e-07
74,60,7.168957543165166e-07,1.2919608541071276e-06,1.075069972630475e-06,1.7607396298150984e-07
75,60,6.465516560741154e-07,1.2919608541071276e-06,1.0850709039060061e-06,1.7210398413679933e-07
76,59,6.465516560741154e-07,1.2919608541071276e-06,1.0744562451629107e-06,1.7834760569431584e-07
77,64,6.358279704159271e-07,1.2919608541071276e-06,1.0946439361989617e-06,1.8119649939564916e-07
78,73,6.358279704159271e-07,1.2919608541071276e-06,1.0625279009896068e-06,1.924640202712819e-07
79,64,7.232491215033657e-07,1.298467792228298e-06,1.0447374799924395e-06,1.8388139447873458e-07
80,67,6.40726942134177e-07,1.298467792228298e-06,1.047755137415409e-06,1.8197012486595848e-07
81,61,6.40726942134177e-07,1.2919608541071276e-06,1.0403488713606276e-06,1.8167642652874743e-07
