generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
25,18,0.0003109355967618819,0.00037724093730827135,0.00033965762352447456,1.4074662610241735e-05
26,15,0.0003109355967618819,0.00037724093730827135,0.0003418556655898755,1.4706418257335023e-05
27,24,0.00030502417977110825,0.00037724093730827135,0.0003410077921429679,1.5194347268291973e-05
28,23,0.00030502417977110825,0.00037205502742643405,0.0003400977317868085,1.6421308743062533e-05
29,13,0.00030502417977110825,0.00037205502742643405,0.00033723236853866424,1.510596215692782e-05
30,12,0.00030295256965592404,0.00037205502742643405,0.0003382405944915511,1.5480222858308546e-05
31,7,0.00030295256965592404,0.00037205502742643405,0.0003393467965871412,1.4848217491122513e-05
32,17,0.00031341802241756166,0.00037205502742643405,0.00034007640466066525,1.3386740048633275e-05
33,22,0.00031685336463630886,0.0003709029790661515,0.00033981361783965304,1.376279512840486e-05
34,15,0.0003182396226333488,0.0003709029790661515,0.00034224262569005953,1.3906288572348738e-05
35,17,0.00030539308122108156,0.0003709029790661515,0.0003428402845953301,1.5519002364706258e-05
36,24,0.00030462603099585476,0.0003709029790661515,0.0003430459297244025,1.6959319605592522e-05
37,19,0.00030462603099585476,0.0003709029790661515,0.00034227193488342236,1.7115378065239787e-05
38,24,0.00030073567816404277,0.0003709029790661515,0.0003403923304264834,1.7571521976342756e-05
39,5,0.00030462603099585476,0.0003709029790661515,0.00034129424385608194,1.7358077867659127e-05
40,12,0.0003182396226333488,0.00038626513508063114,0.00034545659259144565,1.605350541365053e-05
41,6,0.0003138330966556636,0.00038626513508063114,0.0003459176602431843,1.6562935069101645e-05
42,17,0.00031211915588435655,0.00036556723629351505,0.0003440541427272254,1.536110478622865e-05
43,19,0.00031211915588435655,0.00038908746180052765,0.0003456285075909344,1.6488952978085884e-05
44,12,0.0003138330966556636,0.0003659676846262286,0.0003470285758410558,1.5584270723065647e-05
45,22,0.0003138330966556636,0.00038807048834915296,0.0003467574919184709,1.5715619982704543e-05
46,16,0.0003138330966556636,0.00038807048834915296,0.00034747111664920084,1.6552417109224987e-05
47,16,0.0003138330966556636,0.00038807048834915296,0.00034796331149464975,1.5266892940977137e-05
48,21,0.0003138330966556636,0.00038807048834915296,0.00034622567712158333,1.6719923689220147e-05
49,5,0.0002943391317698627,0.00037224076397382124,0.00034468434238021207,1.7809717644541237e-05
50,12,0.0002943391317698627,0.00037224076397382124,0.0003449844578412046,1.7016761472555063e-05
51,14,0.0002943391317698627,0.0003835531884543955,0.0003450082336235147,1.823175958583327e-05
52,18,0.0002943391317698627,0.0003835531884543955,0.00034830927877165673,1.8390756624403808e-05
53,12,0.00031769831727294673,0.0003835531884543955,0.00034909920182515014,1.839935305473014e-05
54,14,0.00031181402663323587,0.0003835531884543955,0.00035080554713982974,1.7389986251900195e-05
55,19,0.00031658040396167255,0.00037224076397382124,0.00034847531446564385,1.6566605486237822e-05
56,16,0.0003160752943971111,0.0003943929011399788,0.0003533306207177371,1.6386357855100647e-05
57,16,0.00031397009222753665,0.0003943929011399788,0.0003517749924502883,1.852819746939973e-05
58,16,0.00031769831727294673,0.0003962885332659254,0.0003549318047745096,1.9101056457920396e-05
59,23,0.00031769831727294673,0.0003962885332659254,0.0003530577160898309,2.1346681624354726e-05
60,9,0.0003141569425595112,0.0003943929011399788,0.0003521329909350579,1.9842670064214303e-05
61,20,0.0003141569425595112,0.0003943929011399788,0.0003485777228179398,1.9276619629817853e-05
62,16,0.0003141569425595112,0.0003919498066375693,0.00035085357425264444,1.6856401686915476e-05
63,5,0.0003141569425595112,0.0003919498066375693,0.0003499519482931295,1.768535543713063e-05
64,7,0.0003141569425595112,0.0003919498066375693,0.0003480058037719487,1.8062289954428534e-05
65,11,0.0003141569425595112,0.0003919498066375693,0.0003513304484113344,1.8483211164196865e-05
66,6,0.0003141569425595112,0.0003919498066375693,0.00035111496330334646,2.071778795775903e-05
67,13,0.0003121675309556498,0.0003919498066375693,0.0003489331726280082,1.9965755394164124e-05
68,7,0.000312162544423178,0.0003919498066375693,0.00034988214806465926,1.8465647389273646e-05
69,18,0.000312162544423178,0.0003919498066375693,0.0003490457844257342,1.6378664617516297e-05
70,17,0.000312162544423178,0.0003919498066375693,0.0003472606923280797,1.7008578160947805e-05
71,15,0.000312162544423178,0.0003919498066375693,0.0003482372207883551,1.7147163319039536e-05
72,19,0.0003209979095780052,0.0003919498066375693,0.00035162674246510655,1.5456331754824925e-05
73,22,0.00031486020515679686,0.0003919498066375693,0.0003528445555462317,1.5637063333468982e-05
74,16,0.00031152459038447,0.0003919498066375693,0.00035282246052740514,1.5809734311533275e-05
75,15,0.0003209979095780052,0.0003919498066375693,0.00035640145428087437,1.6051781519336157e-05
76,21,0.00030163111777987517,0.0003919498066375693,0.000356078902349592,1.6911660573724126e-05
77,16,0.00030163111777987517,0.0003919498066375693,0.0003555987300940157,1.5633274315612378e-05
